RANK2016;RANK2015;INSTITUTION;COUNTRY;SIZE;FOCUS;RESEARCH;AGE;STATUS;AR SCORE;AR RANK;ER SCORE;ER RANK;FS SCORE;FS RANK;CPF SCORE;CPF RANK;IF SCORE;IF RANK;IS SCORE;IS RANK;OVERALL SCORE
1;1;MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT) ;US;M;CO;VH;5;B;100;6;100;4;100;12;99,9;10;100;33;96,6;65;100
2;  3=;STANFORD UNIVERSITY;US;L;FC;VH;5;A;100;5;100;5;100;20;99,7;14;99,7;52;74;170;98,7
3;2;HARVARD UNIVERSITY;US;L;FC;VH;5;B;100;1;100;1;98,5;42;100;8;100;47;70,4;184;98,3
4;  3=;UNIVERSITY OF CAMBRIDGE;UK;L;FC;VH;5;A;100;2;100;3;100;9;86,5;55;97,6;89;97,8;55;97,2
5;5;CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH);US;S;CO;VH;5;B;99,4;23;80,7;90;100;3;100;4;91,2;136;87,7;112;96,9
6;6;UNIVERSITY OF OXFORD;UK;L;FC;VH;5;A;100;3;100;2;100;6;83,6;63;98,7;68;98,2;48;96,8
7;7;UCL (UNIVERSITY COLLEGE LONDON);UK;XL;FC;VH;5;A;99,8;16;99,3;20;98,7;41;79,1;83;99,1;61;100;18;95,6
8;9;ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY);CH;L;CO;VH;5;A;99,6;22;98,9;26;73,3;148;98,3;17;100;15;98,8;40;94,2
9;8;IMPERIAL COLLEGE LONDON;UK;L;FC;VH;5;A;99,6;20;100;8;100;19;69,8;124;100;39;100;12;94,1
10;10;UNIVERSITY OF CHICAGO;US;L;FC;VH;5;B;99,9;13;94,1;47;95,4;54;88,7;49;66,5;232;70,5;182;93
11;11;PRINCETON UNIVERSITY;US;M;CO;VH;5;B;100;10;97,9;32;81,8;115;100;3;65,3;239;68,7;192;92,8
12;12;NATIONAL UNIVERSITY OF SINGAPORE (NUS);SG;XL;FC;VH;5;A;100;11;100;9;88,1;83;70,9;115;100;25;90,8;102;91,5
13;13;NANYANG TECHNOLOGICAL UNIVERSITY (NTU);SG;L;FC;VH;3;A;91,6;53;94,1;48;94;62;83,6;64;100;19;93,9;86;91,4
14;14;ECOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE (EPFL);CH;M;FO;VH;5;A;82,1;73;93,5;52;93,9;63;99,1;16;100;13;100;11;91,1
15;15;YALE UNIVERSITY;US;L;FC;VH;5;B;100;9;99,9;12;100;4;65,2;138;91,1;137;65;213;90,9
16;17;CORNELL UNIVERSITY;US;L;FC;VH;5;B;99,6;21;94;49;68,9;163;95,9;24;91,6;134;66;205;90,1
17;16;JOHNS HOPKINS UNIVERSITY;US;L;FC;VH;5;B;94,8;41;64,7;139;100;11;81,8;70;98,1;81;69,7;189;89,3
18;18;UNIVERSITY OF PENNSYLVANIA;US;L;FC;VH;5;B;97,4;33;96,5;35;100;16;72,9;103;51,1;300;64,2;221;89
19;21;UNIVERSITY OF EDINBURGH;UK;L;FC;VH;5;A;99,2;24;95;42;87,6;86;61,7;155;95,3;115;99,1;37;88,9
20;22;COLUMBIA UNIVERSITY;US;L;FC;VH;5;B;99,9;12;99,2;21;100;18;60,5;158;37,8;355;93,7;89;88,6
21;  19=;KING'S COLLEGE LONDON (KCL);UK;L;FC;VH;5;A;91,8;52;91,1;61;88,2;82;71,2;114;97,6;90;99,3;31;87,7
22;  19=;AUSTRALIAN NATIONAL UNIVERSITY (ANU);AU;L;FC;VH;4;A;99,1;25;89,6;62;56,5;229;86,9;54;100;30;96,3;69;87,3
23;  30=;UNIVERSITY OF MICHIGAN;US;XL;FC;VH;5;A;99,6;19;89,6;64;86,7;88;71,7;110;80,8;188;37,9;356;86,4
  24=;29;DUKE UNIVERSITY;US;L;FC;VH;5;B;94;44;78,3;98;99,2;37;86;56;15,9;401+;56,7;247;86
  24=;25;TSINGHUA UNIVERSITY;CN;XL;FC;VH;5;A;99;28;99,2;22;85,6;95;79,5;81;43,3;327;28,1;401+;86
26;32;NORTHWESTERN UNIVERSITY;US;L;FC;VH;5;B;90,2;57;76,7;103;94,3;59;94,4;29;33,4;376;51,7;277;85,7
27;  30=;UNIVERSITY OF HONG KONG (HKU);HK;L;FC;VH;5;A;98,9;29;93,8;50;84;103;47,3;261;100;20;99,3;32;85,4
28;26;UNIVERSITY OF CALIFORNIA, BERKELEY (UCB);US;XL;FC;VH;5;A;100;4;99,9;13;31,4;401+;99,8;13;98,1;78;79,2;149;85,2
29;33;THE UNIVERSITY OF MANCHESTER;UK;XL;FC;VH;5;A;97,9;31;99,7;15;76,9;131;53,5;204;90,1;144;98,6;42;84,8
30;24;MCGILL UNIVERSITY;CA;L;FC;VH;5;A;97,3;34;93,7;51;68,8;165;63,1;147;90,9;138;95,2;74;84,1
31;27;UNIVERSITY OF CALIFORNIA, LOS ANGELES (UCLA);US;XL;FC;VH;4;A;100;8;99,6;16;61,6;209;87,6;50;34,1;372;50,7;283;84
32;34;UNIVERSITY OF TORONTO;CA;XL;FC;VH;5;A;99,8;15;92,8;54;74,5;140;50;232;97,2;94;93,1;92;83,8
33;23;ECOLE NORMALE SUPÉRIEURE, PARIS (ENS PARIS);FR;S;SP;VH;5;B;82,1;72;71,8;113;76,6;135;100;6;84,5;172;65,1;211;82,9
34;39;THE UNIVERSITY OF TOKYO;JP;L;FC;VH;5;A;100;7;99,6;18;92,2;73;64,4;141;9,8;401+;19,8;401+;82,6
35;36;SEOUL NATIONAL UNIVERSITY (SNU);KR;L;FC;VH;4;A;98,5;30;96,1;37;82,1;112;72,9;105;26;401+;17,6;401+;82,1
36;28;THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST);HK;L;CO;VH;3;A;91,1;55;86;69;45,7;290;87,5;51;100;14;98,7;41;81,8
  37=;38;KYOTO UNIVERSITY;JP;L;FC;VH;5;A;99,7;18;92,6;55;95,3;55;60,3;159;14,6;401+;17,6;401+;81,7
  37=;35;LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE);UK;M;SP;VH;5;A;88,8;61;100;6;57,1;224;72,3;107;100;23;100;8;81,7
39;41;PEKING UNIVERSITY;CN;XL;FC;VH;5;A;99,8;14;99,8;14;66,4;176;64,8;139;53,6;287;49,6;289;81,3
40;44;UNIVERSITY OF CALIFORNIA, SAN DIEGO (UCSD);US;XL;FC;VH;4;A;95,9;37;62,8;146;64,9;188;92,1;39;52,9;290;39,1;350;80,6
41;37;UNIVERSITY OF BRISTOL;UK;L;FC;VH;5;A;85,5;66;94,8;43;73,8;145;62,7;148;88,8;150;82,4;136;79,6
42;42;THE UNIVERSITY OF MELBOURNE;AU;XL;FC;VH;5;A;99,7;17;99,2;23;27,5;401+;75,1;93;82,6;181;99,3;30;79,5
