RANK2016;RANK2015;INSTITUTION;COUNTRY;SIZE;FOCUS;RESEARCH;AGE;STATUS;AR SCORE;AR RANK;ER SCORE;ER RANK;FS SCORE;FS RANK;CPF SCORE;CPF RANK;IF SCORE;IF RANK;IS SCORE;IS RANK;OVERALL SCORE
43;  51=;FUDAN UNIVERSITY;CN;L;FC;VH;5;A;90,8;56;95,3;41;65,6;185;73,9;98;66,7;230;46,5;308;79,4
44;  51=;THE CHINESE UNIVERSITY OF HONG KONG (CUHK);HK;L;FC;VH;4;A;92,4;49;82;86;65,9;182;53,4;205;99,5;54;79,9;147;78,1
45;50;UNIVERSITY OF BRITISH COLUMBIA;CA;XL;FC;VH;5;A;99,1;27;95,5;40;38,1;340;66,8;133;87,2;159;68,3;193;78
  46=;43;KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY;KR;M;CO;VH;3;A;85,5;67;83;79;69,2;162;99,9;12;23,5;401+;10,6;401+;77,9
  46=;53;NEW YORK UNIVERSITY (NYU);US;XL;FC;VH;5;B;97,3;35;96,2;36;95;57;28,3;401+;12,2;401+;82,4;137;77,9
  46=;45;THE UNIVERSITY OF SYDNEY;AU;XL;FC;VH;5;A;99,1;26;98,1;29;25,7;401+;67,1;131;99,8;49;94,9;79;77,9
  49=;49;BROWN UNIVERSITY;US;M;FC;VH;5;B;73,5;100;68,3;123;78,2;124;95,5;27;69;219;66,7;202;77,8
  49=;  46=;THE UNIVERSITY OF NEW SOUTH WALES (UNSW);AU;XL;FC;VH;4;A;95,3;39;98,7;27;22,3;401+;77,1;88;100;32;95,2;75;77,8
  51=;  46=;THE UNIVERSITY OF QUEENSLAND (UQ);AU;XL;FC;VH;5;A;93,4;46;82,7;82;33,1;394;79,9;80;100;42;84,6;125;77,6
  51=;48;THE UNIVERSITY OF WARWICK;UK;L;FC;VH;4;A;83,9;69;98,9;24;62,9;198;58,2;171;96;109;99;39;77,6
  53=;40;ECOLE POLYTECHNIQUE PARISTECH;FR;S;CO;VH;5;A;62,7;140;99,6;17;99,4;35;56;192;96,9;97;90,9;101;75,7
  53=;54;UNIVERSITY OF WISCONSIN-MADISON;US;XL;FC;VH;5;A;94,5;42;55,5;184;84,2;102;56,4;186;52,7;291;33,1;397;75,7
55;57;CITY UNIVERSITY OF HONG KONG;HK;M;CO;VH;3;A;64,8;131;43,9;277;83;106;91,4;42;100;17;98,4;46;75,4
56;56;TOKYO INSTITUTE OF TECHNOLOGY;JP;M;CO;VH;5;A;82,7;71;77,4;102;90,4;74;67,5;130;25,3;401+;26,3;401+;74,9
57;55;UNIVERSITY OF AMSTERDAM;NL;L;FC;VH;5;A;91,4;54;77,5;101;42,8;308;80,2;77;72,4;207;35,3;375;74,3
58;  62=;CARNEGIE MELLON UNIVERSITY;US;L;FC;VH;5;B;83,8;70;81,4;88;35,1;372;94,1;33;32,2;382;99,8;24;74,2
59;65;UNIVERSITY OF WASHINGTON;US;XL;FC;VH;5;A;91,8;50;52,8;204;45,7;291;92;40;40,6;336;47,5;301;73,9
60;60;TECHNISCHE UNIVERSITÄT MÜNCHEN;DE;XL;CO;VH;5;A;85;68;97,6;33;86,4;91;28,9;401+;53,7;286;57;246;72,4
61;  70=;SHANGHAI JIAO TONG UNIVERSITY;CN;XL;FC;VH;5;A;87,1;65;95,7;38;37,3;346;80,1;78;71;211;15,1;401+;72,2
62;64;DELFT UNIVERSITY OF TECHNOLOGY;NL;L;CO;VH;5;A;75,6;92;86,9;68;28,3;401+;94,2;31;96,5;105;74,8;161;72,1
  63=;58;OSAKA UNIVERSITY;JP;L;FC;VH;4;A;88,6;62;68,2;124;83,1;105;57;180;15,1;401+;15,8;401+;71,7
  63=;  62=;UNIVERSITY OF GLASGOW;UK;L;FC;VH;5;A;80;79;63;145;61,6;208;57,6;176;91,2;135;96,9;63;71,7
65;67;MONASH UNIVERSITY;AU;XL;FC;VH;4;A;91,8;51;93,1;53;13,7;401+;64,2;143;100;44;96,4;66;71,6
66;59;UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN;US;XL;FC;VH;5;A;95,1;40;62,2;152;15,5;401+;93,8;34;35,3;367;71,2;178;71,4
67;77;UNIVERSITY OF TEXAS AT AUSTIN;US;XL;FC;VH;5;A;97,5;32;82,9;80;13,5;401+;96,1;23;8,9;401+;22,6;401+;70,7
  68=;75;LUDWIG-MAXIMILIANS-UNIVERSITÄT MÜNCHEN;DE;XL;FC;VH;5;A;96,1;36;83,5;78;43,6;302;49,3;241;58,6;266;39;352;70,2
  68=;  70=;NATIONAL TAIWAN UNIVERSITY (NTU);TW;XL;FC;VH;4;A;95,7;38;68,9;121;36;357;80,7;74;15,7;401+;19,4;401+;70,2
  68=;69;UNIVERSITY OF COPENHAGEN;DK;XL;FC;VH;5;A;81,9;75;64,8;138;100;21;25;401+;86;168;31,3;401+;70,2
71;84;GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH);US;L;CO;VH;5;A;76,1;91;78;100;48,8;272;86;57;5;401+;87,5;114;69,8
72;66;RUPRECHT-KARLS-UNIVERSITÄT HEIDELBERG;DE;L;FC;VH;5;A;90,1;59;70,5;117;69,7;159;36,4;340;48,4;305;59,5;237;69,7
73;  70=;LUND UNIVERSITY;SE;L;FC;VH;5;A;82;74;78,8;95;49,3;267;51,7;217;89,1;148;73,3;173;69,1
74;61;DURHAM UNIVERSITY;UK;L;FC;VH;5;A;64,9;130;95,7;39;30,7;401+;89,5;43;94;123;87,6;113;68,8
  75=;  70=;THE UNIVERSITY OF NOTTINGHAM;UK;L;FC;VH;5;A;71,4;104;91,3;60;59;216;50,7;223;90,3;143;87,9;111;68,7
  75=;74;TOHOKU UNIVERSITY;JP;L;FC;VH;5;A;78,7;83;57,5;174;97,9;45;52,3;213;13,3;401+;17,8;401+;68,7
77;68;UNIVERSITY OF ST ANDREWS;UK;M;FC;VH;5;A;54,3;172;58,4;167;73;149;79,2;82;98,2;77;99,9;20;68,2
78;79;UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL;US;L;FC;VH;5;A;76,9;88;44,8;269;77,1;128;74,7;95;34,2;370;16,4;401+;68,1
79;  82=;KATHOLIEKE UNIVERSITEIT LEUVEN ;BE;XL;FC;VH;5;A;87,4;64;71,6;114;8,1;401+;89,4;44;83,7;175;41,3;338;67,9
80;  85=;UNIVERSITY OF ZURICH;CH;L;FC;VH;5;A;68,6;118;69,3;119;95,8;53;29,9;401+;100;40;62,2;227;67,8
81;  82=;THE UNIVERSITY OF AUCKLAND;NZ;L;FC;VH;5;A;90,1;58;85,8;71;18,8;401+;50;231;86,5;162;89,5;106;67,3
82;76;UNIVERSITY OF BIRMINGHAM;UK;L;FC;VH;5;A;73,9;99;88,7;65;49,3;264;50,1;227;90,3;142;84,3;126;67,2
83;  87=;POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH);KR;S;FO;VH;3;B;47;199;57,3;176;99,5;32;100;9;44,5;320;6,7;401+;67
84;80;THE UNIVERSITY OF SHEFFIELD;UK;L;FC;VH;5;A;70,3;111;66,2;133;62,7;199;52;214;84,8;171;97,1;59;66,9
  85=;  124=;UNIVERSIDAD DE BUENOS AIRES;AR;XL;FC;VH;5;A;92,8;48;98,9;25;65,2;186;2,4;401+;46,4;310;58,4;240;65,8
  85=;  85=;UNIVERSITY OF CALIFORNIA, DAVIS (UCD);US;XL;FC;VH;5;A;80,6;77;49,9;225;25,6;401+;88,7;48;65,5;238;47,6;299;65,8
87;81;UNIVERSITY OF SOUTHAMPTON;UK;L;FC;VH;5;A;63,3;138;48,2;237;72,8;151;56,2;189;93,3;125;96;72;65,6
88;99;OHIO STATE UNIVERSITY;US;XL;FC;VH;5;A;75,5;93;52;210;77,2;126;40,1;303;81,3;186;48,1;295;65,4
89;91;BOSTON UNIVERSITY;US;L;FC;VH;5;B;71,3;106;83,9;77;56,5;228;63,1;146;9,4;401+;77,7;153;65,2
90;106;RICE UNIVERSITY;US;M;FC;VH;5;B;43;222;20,5;401+;85,4;97;98;18;89,2;147;88,8;107;65
91;  96=;UNIVERSITY OF HELSINKI;FI;L;CO;VH;5;A;75,5;94;57,2;177;93,7;65;31,2;390;65;241;10,8;401+;64,7
92;  89=;PURDUE UNIVERSITY;US;XL;FC;VH;5;A;74,5;98;70,8;116;30,2;401+;63,6;144;96,1;106;77,4;154;64,5
93;  87=;UNIVERSITY OF LEEDS;UK;L;FC;VH;5;A;72;102;81,8;87;49,3;265;47,3;260;77,9;193;77,4;155;64,2
94;  96=;UNIVERSITY OF ALBERTA;CA;XL;FC;VH;5;A;70,6;109;61,9;153;53,5;246;49,8;234;92,6;130;83,5;131;64
  95=;101;PENNSYLVANIA STATE UNIVERSITY;US;XL;FC;VH;5;A;81,3;76;72,1;112;24,4;401+;81,6;71;11,4;401+;44,1;320;63,6
  95=;  89=;UNIVERSITY OF GENEVA;CH;L;FC;VH;5;A;57,8;156;31,4;386;53,7;244;81,9;69;100;29;99,5;29;63,6
97;92;KTH, ROYAL INSTITUTE OF TECHNOLOGY;SE;L;CO;VH;5;A;52,2;177;88,1;67;62;205;71,3;112;90,6;140;42,9;325;63,1
  98=;93;KIT, KARLSRUHER INSTITUT FÜR TECHNOLOGIE;DE;L;CO;VH;4;A;57,4;157;94,8;44;66;180;58,7;169;58,4;267;49,6;288;62,8
  98=;104;KOREA UNIVERSITY;KR;L;FC;VH;5;B;70,8;107;82,6;83;82,9;107;34,9;355;18,8;401+;35,1;377;62,8
  98=;78;TRINITY COLLEGE DUBLIN (TCD);IE;L;FC;VH;5;A;68,2;119;57,8;172;39,6;330;62,4;151;98;82;85,9;119;62,8
  98=;102;UPPSALA UNIVERSITY;SE;L;FC;VH;5;A;77,6;85;53,1;203;48,5;274;59,5;165;24,6;401+;71,6;177;62,8
  102=;95;LEIDEN UNIVERSITY;NL;L;FC;VH;5;A;78,8;82;43,9;276;38,7;334;69,9;122;71;212;30,6;401+;62,7
  102=;98;THE UNIVERSITY OF WESTERN AUSTRALIA (UWA);AU;L;FC;VH;5;A;71,8;103;55,2;186;30,2;401+;73,7;99;99,5;53;51,9;274;62,7
  104=;  113=;UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA;CN;L;CO;VH;4;A;63,4;137;48,2;235;60,8;211;97,4;21;9,6;401+;4,2;401+;62,4
  104=;94;UTRECHT UNIVERSITY;NL;XL;FC;VH;5;A;74,6;97;52,5;205;41,8;317;76,4;90;59,3;263;14,7;401+;62,4
  106=;118;SUNGKYUNKWAN UNIVERSITY;KR;L;FC;VH;5;B;65,2;127;98,1;31;84,6;100;36,9;334;17,6;401+;23,1;401+;62,2
  106=;  110=;WASHINGTON UNIVERSITY IN ST. LOUIS;US;L;FC;VH;5;B;53,1;175;22;401+;99,9;23;69,9;123;29,9;401+;65,8;207;62,2
108;108;LOMONOSOV MOSCOW STATE UNIVERSITY ;RU;XL;FO;VH;5;A;77,1;86;69,3;118;99,7;27;6,5;401+;10,4;401+;51,9;276;62,1
109;112;TECHNICAL UNIVERSITY OF DENMARK;DK;M;FO;VH;5;A;34,5;296;43,8;280;98,9;39;74;97;98,7;67;78;151;61,8
110;  110=;ZHEJIANG UNIVERSITY;CN;XL;FC;VH;5;A;73,2;101;80,3;91;27;401+;89;45;8;401+;15,4;401+;61,6
111;116;THE HONG KONG POLYTECHNIC UNIVERSITY;HK;L;CO;VH;2;A;63,8;133;51,6;214;48,1;279;59,3;167;100;45;80,9;139;61,4
112;105;YONSEI UNIVERSITY;KR;L;FC;VH;5;B;70,7;108;82,9;81;74,5;141;33,6;365;16,1;401+;30,6;401+;60,5
  113=;100;UNIVERSITY OF GRONINGEN;NL;L;FC;VH;5;A;59,6;151;41,7;300;67;173;45;273;88,7;151;98,4;47;60
  113=;  135=;UNIVERSITY OF OSLO;NO;L;FC;VH;5;A;61;148;39,6;315;64;193;56,7;181;80,3;190;67,2;198;60
  115=;120;NAGOYA UNIVERSITY;JP;L;FC;VH;5;A;68,2;120;42;297;93,9;64;38,2;317;13,8;401+;21,5;401+;59,6
  115=;  130=;NANJING UNIVERSITY;CN;XL;FC;VH;5;A;69;114;57,6;173;26,6;401+;83,8;62;59,4;262;23,1;401+;59,6
117;107;AARHUS UNIVERSITY;DK;L;FC;VH;4;A;66,3;125;52,1;209;35;373;75,8;91;68;226;44,3;319;59,5
118;129;UNIVERSITY OF CALIFORNIA, SANTA BARBARA (UCSB);US;L;CO;VH;5;A;77;87;22,2;401+;6,3;401+;100;5;61,5;255;40,1;342;59,4
119;  135=;WAGENINGEN UNIVERSITY;NL;M;FO;VH;4;A;47,7;194;31,8;381;99,5;31;50,8;222;45,1;316;88,6;108;59,1
120;  143=;UNIVERSIDADE DE SÃO PAULO (USP);BR;XL;FC;VH;4;A;93,3;47;94,4;45;30,9;401+;27;401+;9,3;401+;5,4;401+;59
  121=;117;EINDHOVEN UNIVERSITY OF TECHNOLOGY;NL;M;FO;VH;4;A;41,8;237;44,8;271;99;38;57,2;178;100;38;24,7;401+;58,9
  121=;  126=;HUMBOLDT-UNIVERSITÄT ZU BERLIN;DE;XL;FC;HI;5;A;93,9;45;65,2;137;14,8;401+;35,1;353;57,3;271;39,8;347;58,9
  123=;119;FREIE UNIVERSITÄT BERLIN;DE;XL;FC;HI;4;A;88,4;63;55,9;181;9;401+;51,8;216;59,8;259;50,8;281;58,7
  123=;109;QUEEN MARY UNIVERSITY OF LONDON (QMUL);UK;L;FC;VH;5;A;53,6;173;45,3;263;64,7;191;47,7;255;98,6;70;99,8;26;58,7
125;  113=;THE UNIVERSITY OF ADELAIDE;AU;L;FC;VH;5;A;67,4;123;62,3;151;29,7;401+;48;251;94,5;122;99,2;35;58,6
126;115;UNIVERSITÉ DE MONTRÉAL ;CA;XL;FC;VH;5;A;69,3;112;66,2;134;28,2;401+;48,5;248;93,3;124;79,9;148;58,5
127;103;UNIVERSITY OF YORK;UK;L;FC;VH;4;A;54,9;169;54,4;195;53,2;247;60;161;89,6;145;74,6;165;58,4
128;160;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM);MX;XL;FC;VH;5;A;94,3;43;92,3;58;49,6;260;4;401+;11,7;401+;2,7;401+;58,3
129;121;LANCASTER UNIVERSITY;UK;M;FC;VH;4;A;48,9;188;51,5;215;42,3;314;74,9;94;91,9;132;98,1;50;57,9
130;  139=;HOKKAIDO UNIVERSITY;JP;L;FC;VH;5;A;67,3;124;49,9;226;84,4;101;38,1;319;13;401+;15,2;401+;57,8
  131=;  124=;UNIVERSITY OF GHENT;BE;XL;FC;VH;5;A;61,9;143;43,1;286;88,7;78;33,7;363;57,5;270;23;401+;57,6
  131=;  126=;UNIVERSITY OF MARYLAND, COLLEGE PARK;US;XL;FC;VH;5;A;61,3;146;33,4;366;55,5;235;77,3;86;30,1;399;33,2;395;57,6
  133=;  139=;AALTO UNIVERSITY;FI;L;FO;VH;5;A;45,8;204;55,9;182;79,6;122;57,9;173;81,6;182;30;401+;57,1
  133=;146;UNIVERSITI MALAYA (UM);MY;L;FC;VH;5;A;55,7;166;48;242;92,2;72;20,3;401+;77,7;194;70,5;181;57,1
135;142;KYUSHU UNIVERSITY;JP;L;FC;VH;5;A;62,1;142;53,4;201;96,5;52;27;401+;16,7;401+;22,2;401+;56,8
136;  130=;UNIVERSITY OF SOUTHERN CALIFORNIA;US;XL;FC;VH;5;B;63;139;50,2;223;33,4;388;69,1;126;44,6;319;75;160;56,7
137;123;UNIVERSITY OF MINNESOTA;US;XL;FC;VH;5;A;76,8;89;40,5;307;13,3;401+;86,9;53;7,2;401+;26,3;401+;56,4
138;  143=;UNIVERSITY OF LAUSANNE;CH;L;CO;VH;5;A;44,8;213;49,9;227;89,2;75;31,6;383;99,4;56;80,2;142;56,3
139;132;CHALMERS UNIVERSITY OF TECHNOLOGY;SE;M;CO;VH;5;B;37,7;269;76;105;62;206;70,7;118;83,6;176;51,9;275;56,1
140;122;CARDIFF UNIVERSITY;UK;L;FC;VH;5;A;54,7;170;58,1;170;54,1;241;45;272;69,3;217;92,4;96;55,7
  141=;  137=;UNIVERSITÉ PIERRE ET MARIE CURIE (UPMC);FR;L;CO;VH;5;A;63,5;135;45,6;258;27,3;401+;82,2;68;27,8;401+;46,9;307;55,6
  141=;  137=;UNIVERSITY OF ABERDEEN;UK;M;FC;VH;5;A;42,6;226;47,3;248;63,7;195;56,1;191;95,9;112;97,6;57;55,6
  141=;  139=;UNIVERSITY OF BASEL;CH;L;FC;VH;5;A;45,3;209;35,3;348;29,1;401+;95,2;28;100;21;77,8;152;55,6
144;  126=;ERASMUS UNIVERSITY ROTTERDAM;NL;L;FO;VH;5;A;45;211;85,7;72;44,9;296;65,9;134;63,5;247;70,6;180;55,5
145;  133=;UNIVERSITY OF PITTSBURGH;US;L;FC;VH;5;A;48,2;192;24,2;401+;97,4;47;52,9;210;40,1;339;25,7;401+;55,1
146;145;RHEINISCH-WESTFÄLISCHE TECHNISCHE HOCHSCHULE AACHEN;DE;XL;FC;VH;5;A;69,2;113;96,9;34;21;401+;44,9;275;30,9;393;57,1;245;55
147;170;PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE;CL;L;FC;HI;5;B;89,7;60;98,3;28;28,9;401+;10,9;401+;16,1;401+;5,5;401+;54,7
148;148;HEBREW UNIVERSITY OF JERUSALEM;IL;L;FC;VH;4;A;56;162;26,1;401+;79,5;123;51,4;219;51,6;297;9,1;401+;54,2
  149=;165;EMORY UNIVERSITY;US;L;FC;VH;5;B;34,9;291;17,3;401+;93;69;72,9;106;51,2;298;51,4;279;54,1
  149=;  149=;MCMASTER UNIVERSITY;CA;L;FC;VH;5;A;51,6;182;50,8;218;68,9;164;37,9;324;93;128;44,9;315;54,1
151;155;NATIONAL TSING HUA UNIVERSITY;TW;M;CO;VH;4;A;56,8;161;42,2;294;22,5;401+;99,6;15;32,1;385;18,5;401+;53,9
  152=;147;INDIAN INSTITUTE OF SCIENCE BANGALORE;IN;S;SP;VH;5;A;42,4;230;30,5;401+;69,3;161;99,9;11;;;2,1;401+;53,8
  152=;152;UNIVERSITY OF WATERLOO;CA;XL;CO;VH;4;A;49,7;185;76,2;104;7,9;401+;84;59;81,4;184;74,8;162;53,8
154;  149=;UNIVERSITÉ CATHOLIQUE DE LOUVAIN (UCL);BE;L;FC;VH;5;B;65,1;128;62,3;150;30,2;401+;37,8;327;86,3;163;61,8;228;53,4
155;153;UNIVERSITÄT WIEN;AT;XL;FC;VH;5;A;74,9;95;46,7;251;24,6;401+;19,7;401+;96,9;100;94,4;82;53,3
156;163;UNIVERSITY OF CALIFORNIA, IRVINE (UCI);US;XL;FC;VH;4;A;54,9;168;30,4;401+;14,3;401+;93,1;37;51,8;292;80,2;144;53,2
157;151;UNIVERSITY OF LIVERPOOL;UK;L;FC;VH;5;A;46,1;203;52,3;207;57,7;223;43,2;288;83,5;178;97,1;60;53,1
158;158;DARTMOUTH COLLEGE;US;M;FC;VH;5;B;31,4;337;59;164;86,3;92;74,3;96;5,4;401+;44,5;317;53
159;159;UNIVERSITY OF BATH;UK;L;CO;VH;4;A;43,5;218;78,7;97;28,5;401+;61,1;157;95;118;91,7;99;52,7
  160=;164;MICHIGAN STATE UNIVERSITY;US;XL;FC;VH;5;A;63,5;136;58,2;169;16,2;401+;62,5;150;61,8;250;50,4;286;52,6
  160=;159;TEXAS A&M UNIVERSITY;US;XL;FC;VH;5;A;68,7;116;59;165;7,7;401+;83,1;66;6,4;401+;16,6;401+;52,6
  160=;  166=;UNIVERSITAT DE BARCELONA (UB);ES;XL;FC;VH;5;A;79,5;80;66,4;131;28,4;401+;32,4;375;4,5;401+;36,1;369;52,6
163;  133=;UNIVERSITÄT FREIBURG;DE;L;FC;VH;5;A;63,7;134;28,4;401+;39;331;54,7;198;57,3;272;44,5;318;52,2
  164=;  156=;CENTRALESUPÉLEC;FR;S;FO;VH;5;A;24,8;401+;100;7;88,5;79;37,1;333;45,4;313;92,7;94;52,1
  164=;178;TECHNISCHE UNIVERSITÄT BERLIN;DE;L;CO;VH;5;A;61,3;147;78,7;96;42,7;312;30;401+;39,8;341;61,8;229;52,1
  164=;161;UNIVERSITY OF EXETER;UK;L;FC;VH;4;A;43,2;220;62,6;147;38,6;337;60;160;88,3;155;85,7;120;52,1
167;  173=;EBERHARD KARLS UNIVERSITÄT TÜBINGEN;DE;L;FC;VH;5;A;56;163;48;241;82,3;111;20,2;401+;55,7;279;28,4;401+;51,9
168;162;NEWCASTLE UNIVERSITY;UK;L;FC;VH;4;A;40,9;243;58,4;168;54,8;238;46,6;264;87,9;157;93,9;84;51,8
169;  173=;UNIVERSITY OF OTAGO;NZ;L;FC;VH;5;A;57,9;154;45;266;22,2;401+;52,8;211;100;27;67,9;195;51,3
