RANK2015;RANK2014;INSTITUTION;COUNTRY;SIZE;FOCUS;RESEARCH;AGE;STATUS;AR SCORE;AR RANK;ER SCORE;ER RANK;FS SCORE;FS RANK;CPF SCORE;CPF RANK;IF SCORE;IF RANK;IS SCORE;IS RANK;OVERALL SCORE
1;1;MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT) ;US;M;CO;VH;5;B;100;6;100;4;100;15;100;9;100;31;95,5;62;100
2;4;HARVARD UNIVERSITY;US;L;FC;VH;5;B;100;1;100;3;98,6;40;100;8;99,9;44;76;155;98,7
  3=;  2=;UNIVERSITY OF CAMBRIDGE;UK;L;FC;VH;5;A;100;2;100;2;100;16;93,7;42;96,2;80;96,6;54;98,6
  3=;7;STANFORD UNIVERSITY;US;L;FC;VH;5;A;100;5;100;6;99,5;32;99,9;12;97,6;66;72,8;170;98,6
5;8;CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH);US;S;CO;VH;5;B;99,8;23;89,6;75;100;6;100;3;90,2;126;85,2;120;97,9
6;  5=;UNIVERSITY OF OXFORD;UK;L;FC;VH;5;A;100;3;100;1;100;10;88,9;63;97,8;61;96,6;55;97,7
7;  5=;UCL (UNIVERSITY COLLEGE LONDON);UK;L;FC;VH;5;A;99,9;15;99,8;17;98,6;41;88;67;95,5;87;99,9;18;97,2
8;  2=;IMPERIAL COLLEGE LONDON;UK;L;FC;VH;5;A;99,9;17;100;8;99,9;23;79,6;108;100;38;100;13;96,1
9;12;ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY);CH;L;CO;VH;5;A;99,9;19;99;28;78,6;140;98,8;21;100;13;98;41;95,5
10;11;UNIVERSITY OF CHICAGO;US;L;FC;VH;5;B;99,9;13;96,3;48;93,8;60;91,5;51;73,4;197;81,6;135;94,6
11;9;PRINCETON UNIVERSITY;US;M;CO;VH;5;B;100;11;98,5;30;92,9;65;100;4;47,2;303;68,2;192;94,4
12;22;NATIONAL UNIVERSITY OF SINGAPORE (NUS);SG;XL;FC;VH;5;A;100;9;100;9;92,9;67;78,9;110;100;25;92,5;81;94,2
13;39;NANYANG TECHNOLOGICAL UNIVERSITY (NTU);SG;L;FC;VH;2;A;95,3;52;97,5;39;94,2;56;86,5;73;100;15;94;72;93,9
14;  17=;ECOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE (EPFL);CH;M;FO;VH;5;A;89,1;71;93,6;60;93,6;63;99,3;17;100;14;100;11;93,8
15;10;YALE UNIVERSITY;US;L;FC;VH;5;B;100;10;100;11;100;7;71,3;149;89,9;127;65,5;204;92,2
16;  14=;JOHNS HOPKINS UNIVERSITY;US;L;FC;VH;5;B;97,2;41;74;136;100;13;84,9;81;96,6;75;71,2;179;91,9
17;19;CORNELL UNIVERSITY;US;L;FC;VH;5;B;99,9;21;96,7;44;73,9;165;97,1;31;90,2;125;66;202;91,8
18;13;UNIVERSITY OF PENNSYLVANIA;US;L;FC;VH;5;B;98,8;33;97,4;40;100;17;80,5;102;52,9;278;66,6;196;91,5
  19=;  25=;AUSTRALIAN NATIONAL UNIVERSITY (ANU);AU;L;FC;VH;4;A;99,6;26;94,4;59;68,9;191;89,4;61;100;30;96,7;53;91
  19=;16;KING'S COLLEGE LONDON (KCL);UK;L;FC;VH;5;A;95,2;53;95,9;51;89,9;84;77,5;120;95,4;90;98,2;37;91
21;  17=;UNIVERSITY OF EDINBURGH;UK;L;FC;VH;5;A;99,7;24;98;36;85,3;103;71,5;148;93,1;112;97,9;42;90,8
22;  14=;COLUMBIA UNIVERSITY;US;L;FC;VH;5;B;100;12;99,4;27;100;18;67;170;33;380;89,8;93;89,7
23;24;ECOLE NORMALE SUPÉRIEURE, PARIS (ENS PARIS);FR;S;SP;VH;5;B;89,6;68;78,9;117;91,9;74;100;7;55,6;266;82,6;130;89,2
24;21;MCGILL UNIVERSITY;CA;L;FC;VH;5;A;99,1;32;94,7;56;80,8;130;70,4;157;88,3;132;92,3;82;88,6
25;47;TSINGHUA UNIVERSITY;CN;XL;FC;VH;5;A;99,6;27;99,5;24;87,5;92;84,2;86;47,8;301;36,1;398;88,5
26;27;UNIVERSITY OF CALIFORNIA, BERKELEY (UCB);US;XL;FC;VH;5;A;100;4;99,9;14;46,9;346;99,9;13;96,8;70;79,3;143;88,4
27;  37=;UNIVERSITY OF CALIFORNIA, LOS ANGELES (UCLA);US;XL;FC;VH;4;A;100;8;99,7;19;74,2;163;89,6;59;57,4;259;49;297;88,2
28;40;THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST);HK;M;CO;VH;2;A;94,3;56;91,8;67;65,8;209;89,4;62;100;16;97;52;88
29;  25=;DUKE UNIVERSITY;US;L;FC;VH;5;B;96,4;44;84,6;96;99,8;28;85,4;79;15,2;401+;57,4;243;87,9
  30=;23;UNIVERSITY OF MICHIGAN;US;XL;FC;VH;5;A;99,9;20;91,4;69;81,3;127;84,5;82;65,4;226;42,2;348;87,8
  30=;28;UNIVERSITY OF HONG KONG (HKU);HK;L;FC;VH;5;A;99,5;28;97,4;41;84,5;107;56,3;255;100;21;98,6;31;87,8
32;34;NORTHWESTERN UNIVERSITY;US;L;FC;VH;5;B;94;58;81,1;107;92,3;72;96,4;35;29,9;401+;51,7;275;87,7
33;30;THE UNIVERSITY OF MANCHESTER;UK;XL;FC;VH;5;A;99,3;30;99,9;13;79,4;136;61,9;209;83,9;157;97,1;50;87,2
34;20;UNIVERSITY OF TORONTO;CA;XL;FC;VH;5;A;99,9;14;95,6;53;82,6;117;57,3;249;97,1;68;90,3;90;87,1
35;  71=;LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE);UK;M;SP;VH;5;A;93,8;59;100;5;65;213;77,6;119;100;24;100;8;86,2
36;  31=;SEOUL NATIONAL UNIVERSITY (SNU);KR;L;FC;VH;4;A;99,2;31;96,6;47;84,2;111;79;109;30,2;399;33,2;401+;85,3
37;29;UNIVERSITY OF BRISTOL;UK;L;FC;VH;5;A;92,1;64;98,2;35;79,7;134;69;161;86,1;142;81,2;136;85
38;36;KYOTO UNIVERSITY;JP;L;FC;VH;5;A;99,9;18;96,6;46;94,1;57;71,5;147;17,8;401+;21,4;401+;84,9
39;  31=;THE UNIVERSITY OF TOKYO;JP;L;FC;VH;5;A;100;7;99,9;15;96,3;47;64,9;188;22,4;401+;25,9;401+;84,8
