RANK2013;RANK2012;INSTITUTION;COUNTRY;SIZE;FOCUS;RESEARCH;AGE;STATUS;AR SCORE;AR RANK;ER SCORE;ER RANK;FS SCORE;FS RANK;CPF SCORE;CPF RANK;IF SCORE;IF RANK;IS SCORE;IS RANK;OVERALL SCORE
  317=;  327=;UNIVERSIDAD AUSTRAL;AR;S;CO;MD;2;B;31,8;401+;49,5;297;93,3;67;3,7;401+;8,9;401+;22,1;401+;38,8
  317=;343;UNIVERSIDAD CARLOS III DE MADRID;ES;L;FO;VH;2;A;43,5;270;61,9;190;54,3;263;6,3;401+;30;363;28,4;401+;38,8
  317=;-;UNIVERSITY OF MISSISSIPPI;US;S;CO;VH;5;A;8,8;401+;4,1;401+;98,5;39;59,7;181;10;401+;51,7;251;38,8
320;336;UNIVERSITÁ DEGLI STUDI DI ROMA - TOR VERGATA;IT;XL;CO;VH;3;A;51,1;217;33,2;401+;10,8;401+;58,2;193;3,9;401+;15,7;401+;38,7
  321=;319;IOWA STATE UNIVERSITY;US;L;CO;VH;5;A;34,3;367;24;401+;34,3;401+;59,1;185;38,2;319;34,9;371;38,6
  321=;305;PONTIFICIA UNIVERSIDAD CATÓLICA ARGENTINA SANTA MARÍA DE LOS BUENOS AIRES (UCA);AR;L;FC;LO;4;B;41,1;300;71,8;140;65,6;185;1,2;401+;;;28,6;401+;38,6
  321=;299;UNIVERSITY OF VICTORIA;CA;L;CO;VH;4;A;32,4;401+;23,7;401+;16,4;401+;68,7;119;89,8;99;33;380;38,6
324;332;BRANDEIS UNIVERSITY;US;M;CO;VH;4;B;24,2;401+;15,9;401+;39,3;401+;73,6;107;18,4;401+;72,2;159;38,5
  325=;292;JULIUS-MAXIMILIANS-UNIVERSITÄT WÜRZBURG;DE;L;FC;VH;5;A;33,3;384;11,4;401+;42,4;392;64,3;149;32,9;347;16;401+;38,4
  325=;  381=;UNIVERSIDAD NACIONAL DE COLOMBIA;CO;XL;FC;HI;5;A;64,2;158;73,1;132;17,9;401+;5;401+;11,5;401+;2;401+;38,4
  327=;339;GEORGE WASHINGTON UNIVERSITY;US;L;FC;HI;5;B;39,9;311;40,8;376;40,8;401+;38,2;325;3,1;401+;43,5;304;38,3
  327=;283;UNIVERSITY OF HAWAII AT M?NOA ;US;L;FC;VH;5;A;26;401+;6,9;401+;60,4;216;61,4;169;31,7;351;23,4;401+;38,3
  329=;  324=;LAVAL UNIVERSITY;CA;L;FC;VH;5;A;35,7;354;33,6;401+;29,3;401+;54,3;223;37,7;323;36,7;356;38,2
  329=;317;WAKE FOREST UNIVERSITY;US;M;FC;VH;5;B;10,1;401+;;;99,7;29;65,4;138;7;401+;13,5;401+;38,2
  331=;377;BEN GURION UNIVERSITY OF THE NEGEV;IL;L;FC;HI;3;A;32;401+;25,4;401+;56,8;240;33;369;79,6;155;14,3;401+;38,1
  331=;329;BOSTON COLLEGE;US;L;CO;HI;5;B;32,1;401+;54,8;245;36,7;401+;28,1;401+;81,4;148;52,8;242;38,1
  331=;340;LINKÖPING UNIVERSITY;SE;L;CO;VH;3;A;32,8;394;55,6;241;52,3;281;29,9;399;39;312;17,9;401+;38,1
  334=;  352=;AALBORG UNIVERSITY;DK;L;FC;HI;5;A;34,1;373;59,2;215;40;401+;20,5;401+;70,8;188;52,7;243;38
  334=;  352=;BAUMAN MOSCOW STATE TECHNICAL UNIVERSITY;RU;L;FO;HI;5;A;27,8;401+;58,5;222;100;9;1,1;401+;1;401+;12,5;401+;38
  334=;-;ECOLE NORMALE SUPÉRIEURE DE CACHAN;FR;S;CO;VH;5;A;31,3;401+;;;85;112;26,2;401+;26,6;387;35,8;362;38
337;294;SOAS - SCHOOL OF ORIENTAL AND AFRICAN STUDIES, UNIVERSITY OF LONDON ;GB;S;SP;HI;4;A;34,9;361;37,4;401+;46,7;342;3,4;401+;99,9;32;100;8;37,9
